ga_28dayUsers,ga_date,isDataGolden,view_id
841,2022-12-30,True,219096830
849,2022-12-31,True,219096830
854,2023-01-01,True,219096830
859,2023-01-02,True,219096830
876,2023-01-03,True,219096830
889,2023-01-04,True,219096830
898,2023-01-05,True,219096830
891,2023-01-06,True,219096830
894,2023-01-07,True,219096830
905,2023-01-08,True,219096830
921,2023-01-09,True,219096830
933,2023-01-10,True,219096830
951,2023-01-11,True,219096830
957,2023-01-12,True,219096830
949,2023-01-13,True,219096830
930,2023-01-14,True,219096830
914,2023-01-15,True,219096830
914,2023-01-16,True,219096830
916,2023-01-17,True,219096830
932,2023-01-18,True,219096830
961,2023-01-19,True,219096830
971,2023-01-20,True,219096830
987,2023-01-21,True,219096830
991,2023-01-22,True,219096830
1007,2023-01-23,True,219096830
1016,2023-01-24,True,219096830
1036,2023-01-25,True,219096830
1030,2023-01-26,True,219096830
1023,2023-01-27,True,219096830
1026,2023-01-28,True,219096830
1026,2023-01-29,True,219096830
1025,2023-01-30,True,219096830
1022,2023-01-31,True,219096830
1011,2023-02-01,True,219096830
998,2023-02-02,True,219096830
1022,2023-02-03,True,219096830
1022,2023-02-04,True,219096830
1014,2023-02-05,True,219096830
999,2023-02-06,True,219096830
990,2023-02-07,True,219096830
973,2023-02-08,True,219096830
961,2023-02-09,True,219096830
971,2023-02-10,True,219096830
968,2023-02-11,True,219096830
1001,2023-02-12,True,219096830
1004,2023-02-13,True,219096830
1013,2023-02-14,True,219096830
1007,2023-02-15,True,219096830
992,2023-02-16,True,219096830
998,2023-02-17,True,219096830
1005,2023-02-18,True,219096830
1019,2023-02-19,True,219096830
1014,2023-02-20,True,219096830
1011,2023-02-21,True,219096830
1022,2023-02-22,True,219096830
1068,2023-02-23,True,219096830
1080,2023-02-24,True,219096830
1095,2023-02-25,True,219096830
1081,2023-02-26,True,219096830
1064,2023-02-27,True,219096830
1044,2023-02-28,True,219096830
1025,2023-03-01,True,219096830
995,2023-03-02,True,219096830
977,2023-03-03,True,219096830
986,2023-03-04,True,219096830
1003,2023-03-05,True,219096830
1017,2023-03-06,True,219096830
1023,2023-03-07,True,219096830
1031,2023-03-08,True,219096830
1041,2023-03-09,True,219096830
1036,2023-03-10,True,219096830
1048,2023-03-11,True,219096830
1020,2023-03-12,True,219096830
1031,2023-03-13,True,219096830
1016,2023-03-14,True,219096830
1013,2023-03-15,True,219096830
1006,2023-03-16,True,219096830
1001,2023-03-17,True,219096830
997,2023-03-18,True,219096830
981,2023-03-19,True,219096830
970,2023-03-20,True,219096830
962,2023-03-21,True,219096830
944,2023-03-22,True,219096830
911,2023-03-23,True,219096830
885,2023-03-24,True,219096830
872,2023-03-25,True,219096830
892,2023-03-26,True,219096830
908,2023-03-27,True,219096830
938,2023-03-28,True,219096830
959,2023-03-29,True,219096830
972,2023-03-30,True,219096830
973,2023-03-31,True,219096830
962,2023-04-01,True,219096830
951,2023-04-02,True,219096830
936,2023-04-03,True,219096830
928,2023-04-04,True,219096830
920,2023-04-05,True,219096830
907,2023-04-06,True,219096830
928,2023-04-07,True,219096830
914,2023-04-08,True,219096830
917,2023-04-09,True,219096830
896,2023-04-10,True,219096830
895,2023-04-11,True,219096830
892,2023-04-12,True,219096830
897,2023-04-13,True,219096830
879,2023-04-14,True,219096830
873,2023-04-15,True,219096830
881,2023-04-16,True,219096830
892,2023-04-17,True,219096830
909,2023-04-18,True,219096830
906,2023-04-19,True,219096830
901,2023-04-20,True,219096830
910,2023-04-21,True,219096830
917,2023-04-22,True,219096830
923,2023-04-23,False,219096830
919,2023-04-24,False,219096830
