,ga_14dayUsers,ga_date,isDataGolden,view_id
0,433,2022-12-30,True,219096830
1,404,2022-12-31,True,219096830
2,378,2023-01-01,True,219096830
3,373,2023-01-02,True,219096830
4,383,2023-01-03,True,219096830
5,394,2023-01-04,True,219096830
6,419,2023-01-05,True,219096830
7,422,2023-01-06,True,219096830
8,437,2023-01-07,True,219096830
9,448,2023-01-08,True,219096830
10,469,2023-01-09,True,219096830
11,485,2023-01-10,True,219096830
12,514,2023-01-11,True,219096830
13,533,2023-01-12,True,219096830
14,526,2023-01-13,True,219096830
15,536,2023-01-14,True,219096830
16,546,2023-01-15,True,219096830
17,552,2023-01-16,True,219096830
18,550,2023-01-17,True,219096830
19,557,2023-01-18,True,219096830
20,556,2023-01-19,True,219096830
21,561,2023-01-20,True,219096830
22,562,2023-01-21,True,219096830
23,555,2023-01-22,True,219096830
24,552,2023-01-23,True,219096830
25,542,2023-01-24,True,219096830
26,533,2023-01-25,True,219096830
27,507,2023-01-26,True,219096830
28,506,2023-01-27,True,219096830
29,497,2023-01-28,True,219096830
30,492,2023-01-29,True,219096830
31,484,2023-01-30,True,219096830
32,480,2023-01-31,True,219096830
33,466,2023-02-01,True,219096830
34,452,2023-02-02,True,219096830
35,474,2023-02-03,True,219096830
36,474,2023-02-04,True,219096830
37,473,2023-02-05,True,219096830
38,456,2023-02-06,True,219096830
39,457,2023-02-07,True,219096830
40,448,2023-02-08,True,219096830
41,461,2023-02-09,True,219096830
42,474,2023-02-10,True,219096830
43,480,2023-02-11,True,219096830
44,518,2023-02-12,True,219096830
45,531,2023-02-13,True,219096830
46,546,2023-02-14,True,219096830
47,557,2023-02-15,True,219096830
48,557,2023-02-16,True,219096830
49,543,2023-02-17,True,219096830
50,551,2023-02-18,True,219096830
51,566,2023-02-19,True,219096830
52,574,2023-02-20,True,219096830
53,568,2023-02-21,True,219096830
54,591,2023-02-22,True,219096830
55,622,2023-02-23,True,219096830
56,624,2023-02-24,True,219096830
57,632,2023-02-25,True,219096830
58,585,2023-02-26,True,219096830
59,560,2023-02-27,True,219096830
60,521,2023-02-28,True,219096830
61,488,2023-03-01,True,219096830
62,451,2023-03-02,True,219096830
63,445,2023-03-03,True,219096830
64,445,2023-03-04,True,219096830
65,449,2023-03-05,True,219096830
66,456,2023-03-06,True,219096830
67,465,2023-03-07,True,219096830
68,453,2023-03-08,True,219096830
69,431,2023-03-09,True,219096830
70,423,2023-03-10,True,219096830
71,428,2023-03-11,True,219096830
72,445,2023-03-12,True,219096830
73,482,2023-03-13,True,219096830
74,506,2023-03-14,True,219096830
75,536,2023-03-15,True,219096830
76,564,2023-03-16,True,219096830
77,569,2023-03-17,True,219096830
78,567,2023-03-18,True,219096830
79,547,2023-03-19,True,219096830
80,529,2023-03-20,True,219096830
81,513,2023-03-21,True,219096830
82,505,2023-03-22,True,219096830
83,493,2023-03-23,True,219096830
84,477,2023-03-24,True,219096830
85,461,2023-03-25,True,219096830
86,465,2023-03-26,True,219096830
87,445,2023-03-27,True,219096830
88,447,2023-03-28,True,219096830
89,435,2023-03-29,True,219096830
90,418,2023-03-30,True,219096830
91,411,2023-03-31,True,219096830
92,405,2023-04-01,True,219096830
93,415,2023-04-02,True,219096830
94,420,2023-04-03,True,219096830
95,428,2023-04-04,True,219096830
96,429,2023-04-05,True,219096830
97,427,2023-04-06,True,219096830
98,463,2023-04-07,True,219096830
99,467,2023-04-08,True,219096830
100,466,2023-04-09,True,219096830
101,470,2023-04-10,True,219096830
102,466,2023-04-11,True,219096830
103,471,2023-04-12,True,219096830
104,493,2023-04-13,True,219096830
105,486,2023-04-14,True,219096830
106,488,2023-04-15,True,219096830
107,489,2023-04-16,True,219096830
108,494,2023-04-17,True,219096830
109,500,2023-04-18,True,219096830
110,493,2023-04-19,True,219096830
111,486,2023-04-20,True,219096830
112,462,2023-04-21,True,219096830
113,467,2023-04-22,True,219096830
114,475,2023-04-23,False,219096830
115,473,2023-04-24,False,219096830
