,ga_30dayUsers,ga_date,isDataGolden,view_id
0,908,2022-12-30,True,219096830
1,895,2022-12-31,True,219096830
2,885,2023-01-01,True,219096830
3,905,2023-01-02,True,219096830
4,933,2023-01-03,True,219096830
5,950,2023-01-04,True,219096830
6,967,2023-01-05,True,219096830
7,962,2023-01-06,True,219096830
8,953,2023-01-07,True,219096830
9,950,2023-01-08,True,219096830
10,971,2023-01-09,True,219096830
11,995,2023-01-10,True,219096830
12,1016,2023-01-11,True,219096830
13,1025,2023-01-12,True,219096830
14,1022,2023-01-13,True,219096830
15,1018,2023-01-14,True,219096830
16,1013,2023-01-15,True,219096830
17,1001,2023-01-16,True,219096830
18,990,2023-01-17,True,219096830
19,1001,2023-01-18,True,219096830
20,1015,2023-01-19,True,219096830
21,1018,2023-01-20,True,219096830
22,1026,2023-01-21,True,219096830
23,1024,2023-01-22,True,219096830
24,1053,2023-01-23,True,219096830
25,1070,2023-01-24,True,219096830
26,1087,2023-01-25,True,219096830
27,1075,2023-01-26,True,219096830
28,1082,2023-01-27,True,219096830
29,1084,2023-01-28,True,219096830
30,1069,2023-01-29,True,219096830
31,1079,2023-01-30,True,219096830
32,1093,2023-01-31,True,219096830
33,1091,2023-02-01,True,219096830
34,1091,2023-02-02,True,219096830
35,1105,2023-02-03,True,219096830
36,1081,2023-02-04,True,219096830
37,1072,2023-02-05,True,219096830
38,1073,2023-02-06,True,219096830
39,1080,2023-02-07,True,219096830
40,1071,2023-02-08,True,219096830
41,1055,2023-02-09,True,219096830
42,1044,2023-02-10,True,219096830
43,1030,2023-02-11,True,219096830
44,1060,2023-02-12,True,219096830
45,1071,2023-02-13,True,219096830
46,1092,2023-02-14,True,219096830
47,1093,2023-02-15,True,219096830
48,1091,2023-02-16,True,219096830
49,1085,2023-02-17,True,219096830
50,1068,2023-02-18,True,219096830
51,1072,2023-02-19,True,219096830
52,1083,2023-02-20,True,219096830
53,1092,2023-02-21,True,219096830
54,1101,2023-02-22,True,219096830
55,1127,2023-02-23,True,219096830
56,1125,2023-02-24,True,219096830
57,1146,2023-02-25,True,219096830
58,1126,2023-02-26,True,219096830
59,1119,2023-02-27,True,219096830
60,1110,2023-02-28,True,219096830
61,1089,2023-03-01,True,219096830
62,1063,2023-03-02,True,219096830
63,1068,2023-03-03,True,219096830
64,1066,2023-03-04,True,219096830
65,1053,2023-03-05,True,219096830
66,1072,2023-03-06,True,219096830
67,1094,2023-03-07,True,219096830
68,1102,2023-03-08,True,219096830
69,1103,2023-03-09,True,219096830
70,1105,2023-03-10,True,219096830
71,1116,2023-03-11,True,219096830
72,1104,2023-03-12,True,219096830
73,1125,2023-03-13,True,219096830
74,1107,2023-03-14,True,219096830
75,1109,2023-03-15,True,219096830
76,1094,2023-03-16,True,219096830
77,1087,2023-03-17,True,219096830
78,1075,2023-03-18,True,219096830
79,1053,2023-03-19,True,219096830
80,1044,2023-03-20,True,219096830
81,1035,2023-03-21,True,219096830
82,1030,2023-03-22,True,219096830
83,1025,2023-03-23,True,219096830
84,990,2023-03-24,True,219096830
85,951,2023-03-25,True,219096830
86,939,2023-03-26,True,219096830
87,932,2023-03-27,True,219096830
88,966,2023-03-28,True,219096830
89,985,2023-03-29,True,219096830
90,993,2023-03-30,True,219096830
91,1016,2023-03-31,True,219096830
92,1031,2023-04-01,True,219096830
93,1026,2023-04-02,True,219096830
94,1021,2023-04-03,True,219096830
95,1016,2023-04-04,True,219096830
96,1003,2023-04-05,True,219096830
97,989,2023-04-06,True,219096830
98,1002,2023-04-07,True,219096830
99,986,2023-04-08,True,219096830
100,983,2023-04-09,True,219096830
101,972,2023-04-10,True,219096830
102,987,2023-04-11,True,219096830
103,977,2023-04-12,True,219096830
104,979,2023-04-13,True,219096830
105,957,2023-04-14,True,219096830
106,943,2023-04-15,True,219096830
107,931,2023-04-16,True,219096830
108,940,2023-04-17,True,219096830
109,963,2023-04-18,True,219096830
110,964,2023-04-19,True,219096830
111,961,2023-04-20,True,219096830
112,956,2023-04-21,True,219096830
113,956,2023-04-22,True,219096830
114,975,2023-04-23,False,219096830
115,973,2023-04-24,False,219096830
